fanta_role,name,team_code,team_name,value,elo,starter_prob,exp_matches,exp_weighted_matches,base_voto,per_match_pts,etp,mod_proxy,etp_obj,etp_per_credit
m,Antonisse,CUW,Curacao,2,1433,0.86,3.02,3.02,6.008,6.228,16.17,0.0,16.17,8.084
m,Mainoo,ING,England,14,2020,0.5,5.84,5.03,6.483,6.429,16.16,0.0,16.16,1.154
m,Ayed,GRD,Jordan,1,1685,0.8,3.3,3.27,6.212,6.187,16.16,0.0,16.16,16.161
cb,Wolfe,NOR,Norway,3,1917,0.515,4.8,4.42,6.399,6.301,14.33,1.82,16.15,5.383
st,Beier,GER,Germany,15,1925,0.5,5.05,4.6,6.406,7.007,16.12,0.0,16.12,1.075
cb,Khusanov,UZB,Uzbekistan,7,1718,0.724,3.44,3.39,6.239,6.093,14.94,1.17,16.11,2.302
cb,Hashem,IRQ,Iraq,1,1608,0.84,3.02,3.02,6.15,6.051,15.34,0.76,16.1,16.099
m,Adams J.,SAF,South Africa,1,1517,0.86,3.06,3.05,6.076,6.103,16.03,0.0,16.03,16.031
cb,Abu Hasheesh,GRD,Jordan,1,1685,0.755,3.3,3.27,6.212,6.066,14.95,1.04,16.0,15.998
cb,Cross,SAF,South Africa,1,1517,0.86,3.06,3.05,6.076,5.93,15.58,0.4,15.98,15.976
cb,Alizhonov,UZB,Uzbekistan,1,1718,0.714,3.44,3.39,6.239,6.116,14.79,1.15,15.95,15.947
