fanta_role,name,team_name,value,club_goals_current_season,national_goals_current_season,national_appearances_current_season,national_team_matches_current_season,national_presence_ratio_current_season,transfermarkt_player_url,transfermarkt_match_status
cb,Vasquez J.,MEX,5,1,2,10,16,0.625,https://www.transfermarkt.it/johan-vasquez/profil/spieler/532937,matched_alias
cb,Wan-Bissaka,COD,5,0,0,3,18,0.167,https://www.transfermarkt.it/aaron-wan-bissaka/profil/spieler/477758,matched_alias
cb,Amenda,SVI,4,0,0,3,10,0.3,https://www.transfermarkt.it/aurele-amenda/profil/spieler/635645,matched_alias
cb,Celik,TUR,4,1,0,3,10,0.3,https://www.transfermarkt.it/zeki-celik/profil/spieler/251075,matched_alias
cb,Coufal,RCE,4,1,0,4,10,0.4,https://www.transfermarkt.it/vladimir-coufal/profil/spieler/157672,matched_alias
cb,Digne,FRA,4,0,0,3,10,0.3,https://www.transfermarkt.it/lucas-digne/profil/spieler/126664,matched_alias
cb,Erlic,CRO,4,6,0,2,10,0.2,https://www.transfermarkt.it/martin-erlic/profil/spieler/357003,matched_alias
cb,Friedl,AUT,4,1,0,3,10,0.3,https://www.transfermarkt.it/marco-friedl/profil/spieler/156990,matched_alias
cb,Jakobs,SEN,4,0,0,4,19,0.211,https://www.transfermarkt.it/ismail-jakobs/profil/spieler/375137,matched_alias
cb,Lienhart,AUT,4,2,0,3,10,0.3,https://www.transfermarkt.it/philipp-lienhart/profil/spieler/225657,matched_alias
cb,Ostigard,NOR,4,5,0,5,10,0.5,https://www.transfermarkt.it/leo-ostigard/profil/spieler/367284,matched_alias
cb,Patterson,SCO,4,0,0,3,10,0.3,https://www.transfermarkt.it/nathan-patterson/profil/spieler/424015,matched_alias
cb,Piquerez,URU,4,0,0,3,10,0.3,https://www.transfermarkt.it/joaquin-piquerez/profil/spieler/496268,matched_alias
cb,Riad,MAR,4,1,0,3,26,0.115,https://www.transfermarkt.it/chadi-riad/profil/spieler/689637,matched_alias
cb,Affengruber,AUT,3,1,0,1,10,0.1,https://www.transfermarkt.it/david-affengruber/profil/spieler/452483,matched_alias
cb,Agbadou,CIV,3,1,0,4,13,0.308,https://www.transfermarkt.it/emmanuel-agbadou/profil/spieler/683895,matched_alias
cb,Alderete,PAR,3,1,0,5,10,0.5,https://www.transfermarkt.it/omar-alderete/profil/spieler/353032,matched_alias
cb,Bombito,CAN,3,0,0,1,14,0.071,https://www.transfermarkt.it/moise-bombito/profil/spieler/1089202,matched_alias
cb,Brown N.,GER,3,4,0,3,10,0.3,https://www.transfermarkt.it/nathaniel-brown/profil/spieler/691892,matched_alias
cb,Caleta-car,CRO,3,1,0,1,10,0.1,https://www.transfermarkt.it/duje-caleta-car/profil/spieler/238266,matched_alias
cb,Circati,AUS,3,1,1,8,10,0.8,https://www.transfermarkt.it/alessandro-circati/profil/spieler/867137,matched_alias
cb,Comenencia,CUW,3,0,1,4,11,0.364,https://www.transfermarkt.it/livano-comenencia/profil/spieler/626764,matched_alias
cb,Diop,MAR,3,1,0,4,26,0.154,https://www.transfermarkt.it/issa-diop/profil/spieler/272622,matched_alias_position
cb,Elmali,TUR,3,4,0,3,10,0.3,https://www.transfermarkt.it/eren-elmali/profil/spieler/616894,matched_alias
cb,Hadjam,ALG,3,2,1,3,23,0.13,https://www.transfermarkt.it/jaouen-hadjam/profil/spieler/750903,matched_alias
cb,Holes,RCE,3,2,0,3,10,0.3,https://www.transfermarkt.it/tomas-holes/profil/spieler/216278,matched_alias
cb,Itakura,JAP,3,1,0,3,13,0.231,https://www.transfermarkt.it/ko-itakura/profil/spieler/355816,matched_alias
cb,Johnston A.,CAN,3,1,0,2,14,0.143,https://www.transfermarkt.it/alistair-johnston/profil/spieler/637446,matched_alias
cb,Jurasek D.,RCE,3,1,0,5,10,0.5,https://www.transfermarkt.it/david-jurasek/profil/spieler/500054,matched_alias
cb,Kabak,TUR,3,4,0,4,10,0.4,https://www.transfermarkt.it/ozan-kabak/profil/spieler/361260,matched_alias
cb,Kolasinac,BOS,3,0,0,3,10,0.3,https://www.transfermarkt.it/sead-kolasinac/profil/spieler/94005,matched_alias
cb,Koulibaly,SEN,3,2,0,3,19,0.158,https://www.transfermarkt.it/kalidou-koulibaly/profil/spieler/93128,matched_alias
cb,Lindelof,SVE,3,0,0,3,10,0.3,https://www.transfermarkt.it/victor-lindelof/profil/spieler/184573,matched_alias
cb,Montes,MEX,3,4,0,8,16,0.5,https://www.transfermarkt.it/cesar-montes/profil/spieler/387687,matched_alias
cb,Muheim,SVI,3,0,0,4,10,0.4,https://www.transfermarkt.it/miro-muheim/profil/spieler/298603,matched_alias
cb,Muldur,TUR,3,1,0,4,10,0.4,https://www.transfermarkt.it/mert-muldur/profil/spieler/353922,matched_alias
cb,Opoku,GHA,3,1,0,3,10,0.3,https://www.transfermarkt.it/jerome-opoku/profil/spieler/408563,matched_alias
